PARK NAME, ZIP, PARK CLASS
FIELD (EUGENE), 60625, COMMUNITY PARK
MICEK (FRANK), 60609, NEIGHBORHOOD PARK
HICKORY, 60640, MINI-PARK
DEBOW (RUSSELL), 60619, NEIGHBORHOOD PARK
DOUGHERTY (DANIEL), 60647, NEIGHBORHOOD PARK
GROSS, 60625, NEIGHBORHOOD PARK
DOUGLAS (STEPHEN), 60623, CITYWIDE PARK
FARGO (JAMES) BEACH, 60626, PASSIVE PARK
BUCKTHORN, 60653, MINI-PARK
TULEY (MURRAY), 60619, REGIONAL PARK
GAGE (GEORGE), 60629, REGIONAL PARK
LOYOLA, 60626, REGIONAL PARK
WELLES (GIDEON), 60625, REGIONAL PARK
CATALPA, 60632, MINI-PARK
PROSPECT GARDENS, 60643, PASSIVE PARK
PIOTROWSKI (LILLIAN), 60623, REGIONAL PARK
DOGWOOD, 60612, MINI-PARK
SIMONS (ALMIRA), 60647, COMMUNITY PARK
HOARD (EDISON), 60619, NEIGHBORHOOD PARK
PARK NO. 421, 60609, UNIMPROVED PARK
BLACKHAWK, 60639, COMMUNITY PARK
RAINBOW BEACH, 60649, CITYWIDE PARK
PETERSON (PEHR SAMUEL), 60646, REGIONAL PARK
OHIO & HARDING, 60624, MINI-PARK
CORNELL (PAUL) SQUARE, 60609, COMMUNITY PARK
HONEYSUCKLE, 60653, MINI-PARK
THE GROVE, 60620, MINI-PARK
LAKE SHORE, 60611, NEIGHBORHOOD PARK
ORIOLE, 60656, REGIONAL PARK
PARK NO. 519, 60623, MINI-PARK
PERIWINKLE, 60621, NEIGHBORHOOD PARK
GOOSEBERRY, 60640, MINI-PARK
NORWOOD CIRCLE, 60631, PASSIVE PARK
KELLS (GEORGE), 60624, NEIGHBORHOOD PARK
DUBKIN (LEONARD), 60626, PASSIVE PARK
BOSWELL (ARNITA YOUNG), 60637, MINI-PARK
VOGLE (HENRY JR.), 60625, MINI-PARK
STATEWAY, 60609, COMMUNITY PARK
MEYERING (WILLIAM), 60619, NEIGHBORHOOD PARK
HARSH (VIVIAN G.), 60653, MINI-PARK
COMMERCIAL CLUB PGD. of CHICAGO, 60622, COMMUNITY PARK
JACOB, 60625, MINI-PARK
PARK NO. 526, 60659, UNIMPROVED PARK
GRANT (ULYSSES), 60605, MAGNET PARK
BUENA CIRCLE, 60613, NEIGHBORHOOD PARK
MULBERRY, 60608, NEIGHBORHOOD PARK
LANGLEY, 60628, NEIGHBORHOOD PARK
PLEASANT POINT, 60631, NEIGHBORHOOD PARK
JUNIPER, 60613, MINI-PARK
MYRTLE GROVE, 60631, PASSIVE PARK
HOUSTON (JESSIE "MA"), 60615, NEIGHBORHOOD PARK
CLARK (JOHN), 60644, NEIGHBORHOOD PARK
PARK NO. 559, 60660, PASSIVE PARK
BRANDS, 60618, COMMUNITY PARK
BUTTERCUP, 60640, NEIGHBORHOOD PARK
PARK NO. 503, 60617, UNIMPROVED PARK
CLARK (RICHARD), 60618, PASSIVE PARK
PARK NO. 563, 60633, NATURE PRESERVE PARK
SYCAMORE, 60615, NEIGHBORHOOD PARK
WENTWORTH (JOHN) GARDENS, 60609, COMMUNITY PARK
LEVIN (JOHN), 60644, COMMUNITY PARK
KING (MARTIN LUTHER, JR.), 60620, REGIONAL PARK
OZ, 60614, COMMUNITY PARK
HERMOSA, 60639, NEIGHBORHOOD PARK
MARIANO (LOUIS), 60611, PASSIVE PARK
ARCHER (WILLIAM BEATTY), 60632, COMMUNITY PARK
VALLEY FORGE, 60638, COMMUNITY PARK
LAZARUS (EMMA), 60626, MINI-PARK
